LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 0.07s, Fin: 0.27s (Duración: 0.20s)
- Inicio: 0.60s, Fin: 0.67s (Duración: 0.07s)
- Inicio: 1.87s, Fin: 2.07s (Duración: 0.20s)
- Inicio: 2.27s, Fin: 2.27s (Duración: 0.00s)
- Inicio: 2.47s, Fin: 2.47s (Duración: 0.00s)
- Inicio: 2.67s, Fin: 2.67s (Duración: 0.00s)
- Inicio: 3.07s, Fin: 3.07s (Duración: 0.00s)
- Inicio: 3.47s, Fin: 3.67s (Duración: 0.20s)
- Inicio: 3.87s, Fin: 3.93s (Duración: 0.07s)
- Inicio: 4.07s, Fin: 4.07s (Duración: 0.00s)
- Inicio: 4.27s, Fin: 4.27s (Duración: 0.00s)
- Inicio: 4.40s, Fin: 4.47s (Duración: 0.07s)
- Inicio: 4.87s, Fin: 5.00s (Duración: 0.13s)
- Inicio: 5.27s, Fin: 5.40s (Duración: 0.13s)
- Inicio: 5.67s, Fin: 5.67s (Duración: 0.00s)
- Inicio: 5.87s, Fin: 6.00s (Duración: 0.13s)
- Inicio: 6.27s, Fin: 6.47s (Duración: 0.20s)
- Inicio: 6.80s, Fin: 7.00s (Duración: 0.20s)
- Inicio: 7.13s, Fin: 7.27s (Duración: 0.13s)
- Inicio: 7.40s, Fin: 7.47s (Duración: 0.07s)
- Inicio: 7.60s, Fin: 8.07s (Duración: 0.47s)
- Inicio: 8.20s, Fin: 8.20s (Duración: 0.00s)
- Inicio: 9.07s, Fin: 9.07s (Duración: 0.00s)
- Inicio: 9.27s, Fin: 9.27s (Duración: 0.00s)
- Inicio: 9.87s, Fin: 9.87s (Duración: 0.00s)
- Inicio: 10.20s, Fin: 10.27s (Duración: 0.07s)
- Inicio: 11.27s, Fin: 11.27s (Duración: 0.00s)
- Inicio: 11.93s, Fin: 12.33s (Duración: 0.40s)
- Inicio: 12.67s, Fin: 12.73s (Duración: 0.07s)
